Gender,First Generation,Age,University,Major,Major Grouping,COR,Nationality,Employment,Uni Grouping,Final Status,How did you hear about this program?,Name of Company,Job Title (if applicable),Motivation,Motivation Additional Info
Female,No,34.0,AUB,Medicine,Health,Lebanon,Lebanese,Unemployed,AUB,Graduated,,,,,
Female,Yes,27.0,LU,Chemical Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Graduated,,Gandour,Production Engineer,,
Female,No,32.0,AUB,Population Health,Health,UAE,Lebanese,Employed,AUB,Graduated,Social Media,"CCHO (Center of Clinical, Health Economics and Outcomes Research)",Population Health Researcher,,
Female,No,21.0,LIU,Physics,Sciences,Lebanon,Lebanese,Unemployed,LIU,Graduated,,,,,
Male,No,32.0,ENSIL-ENSCI,Mechatronics Engineering,Engineering,Lebanon,Lebanese,Employed,Unknown,Dropped,Word of Mouth,Dar Al Handasah Shair & Partners,Instrumentation & Control Engineer,,
Male,Yes,37.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,AUB,Graduated,,,,,
Female,Yes,28.0,LAU,Mathematics,Sciences,UAE,Lebanese,Employed,LAU,Dropped,,Al Mawakeb School,Math teacher,,
Female,Yes,35.0,LU,Medical Physics,Health,Lebanon,Lebanese,Unemployed,LU,Active,Social Media,,,,
Male,No,26.0,AUC,Physics,Sciences,Egypt,Egyptian,Employed,Unknown,Dropped,AUB Website,Dar Al Handasah Shair & Partners,Instrumentation & Control Engineer,,
Female,No,38.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,Dar Al Handasah Shair & Partners,Senior Solution Developer,,
Female,No,27.0,AUB,CCE,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,,Norwegian Refugee Council,Database Officer,,
Male,No,41.0,BAU,Applied Statistics,Sciences,Lebanon,Palestinian,Employed,BAU,Graduated,AUB Website,,Physics Teacher,,
Male,Yes,28.0,USJ,Electrical Engineering,Engineering,Lebanon,Lebanese,Employed,USJ,Graduated,Word of Mouth,Dar Al Handasah Shair & Partners,Electrical Engineer,,
Male,No,23.0,LU,Mechanical Engineering,Engineering,France,Canadian,Unemployed,LU,Graduated,AUB Website,,,,
Male,No,22.0,AUB,CCE,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,,PwC,,,
Male,No,27.0,AUB,Business Administration,Business,UAE,Lebanese,Employed,AUB,Graduated,,PwC,Senior Consultant,,
Male,No,37.0,AUB,ECE,Engineering,Saudi Arabia,Jordanian,Employed,AUB,Graduated,,Nesma and Partners,Project Control,,
Male,No,43.0,Balamand,Computer Engineering,Engineering,UAE,Lebanese,Employed,Balamand,Graduated,,Rabdan Academy,Quality Assurance Section Manager,,
Male,Yes,30.0,BAU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Unemployed,BAU,Dropped,,,,,
Male,No,27.0,MIT,Electrical Engineering,Engineering,Lebanon,Jordanian,Employed,Unknown,Dropped,,Dar Al Handasah Shair & Partners,Electrical Engineer - Group Leader,,
Male,No,35.0,University of San Diego,ECE,Engineering,USA,Syrian,Employed,Unknown,Dropped,,MyVitaAI,Inventor & CEO,,
Female,No,30.0,BAU,Engineering,Engineering,Saudi Arabia,Lebanese,Employed,BAU,Dropped,An Ad on Social Media,,Manager,,
Female,Yes,33.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,World Health Organization,Surveillance consultant,,
Male,No,24.0,LIU,Economics,Business,Lebanon,Lebanese,Employed,LIU,Dropped,Instagram Organic,Ghaddar Machinery Co.,Account manager,,
Female,Yes,45.0,AUB,ECE,Engineering,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,KVA,Customer Services Manager,,
Female,No,39.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,American University of Beirut,Biomedical IRB Administrator,,
Male,Yes,44.0,AUB,Engineering Management,Engineering,Saudi Arabia,Lebanese,Employed,AUB,Dropped,Facebook (in form),Cisco Systems,Global Systems Engineering Manager,,
Female,No,23.0,AUB,Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,Hasan Khalife,Business Analyst,,
Male,Yes,30.0,IUL,Surveying Engineer,Engineering,Lebanon,Lebanese,Employed,IUL,Inactive,AUB Website,American university in Beirut,graduate research assistant,,
Male,Yes,25.0,LU,Physics,Sciences,Lebanon,Lebanese,Unemployed,LU,Graduated,Word of Mouth,,,,
Female,Yes,23.0,BAU,Mathematics,Sciences,Lebanon,Lebanese,Employed,BAU,Graduated,AUB Website,AmideastLebanon,SAT Instructor,,
Male,Yes,33.0,Antonine University,Telecommunications and Networks Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Graduated,Email from AUB,Medair,Application and Data Engineer,,
Male,No,25.0,AUL,CCE,Engineering,Lebanon,Lebanese,Employed,AUL,Graduated,Word of Mouth,Emakina,Webmaster,,
Male,Yes,27.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Inactive,Word of Mouth,Fits Consulting,Solution Architect,,
Male,No,38.0,AUB,Physics,Sciences,Lebanon,Lebanese,Employed,AUB,Dropped,Instagram,self-employed,IT Consultant,,
Female,No,42.0,USJ,Physics,Sciences,Qatar,Lebanese,Employed,USJ,Graduated,Social Media,Lebabon school of Qatar,Physics teacher,,
Male,Yes,34.0,AUL,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUL,Graduated,AUB Website,Lebanese General Security,Inspector,,
Male,No,39.0,Applied Science University,Computer information systems,CS/IT/MIS,Palestine,Palestinian,Employed,Unknown,Graduated,AUB Website,Tawazon,Head of tech,,
Male,Yes,38.0,LU,Game Development and Design,CS/IT/MIS,Lebanon,Lebanese,Employed,LU,Graduated,Facebook (in form),Monty Mobile,Game Development Team Lead,,
Female,Yes,31.0,LU,Statistics,Sciences,Lebanon,Lebanese,Employed,LU,Graduated,Facebook (in form),Monty Mobile,,,
Female,Yes,32.0,CNAM,Computer Engineering,Engineering,Lebanon,Lebanese,Employed,CNAM,Graduated,Facebook,Monty Mobile,Senior backend developer,,
Female,No,41.0,LAU,Computer Science,CS/IT/MIS,Saudi Arabia,Lebanese,Employed,LAU,Graduated,Instagram,HBSA,IT lecturer,,
Male,No,23.0,BAU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,BAU,Inactive,Facebook,CMA CGM,Internship Mechanical engineer,,
Female,Yes,38.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Graduated,Facebook,International Energy Solutions,Research and Feasibility studies,,
Male,Yes,33.0,LU,Actuarial Sciences,Sciences,Kuwait,Lebanese,Employed,LU,Graduated,Word of Mouth,Kuwait Financial Center,Vice President - Systems,,
Male,Yes,37.0,IUL,CCE,Engineering,Saudi Arabia,Lebanese,Employed,IUL,Graduated,Instagram (in form),Ipsotek Ltd.,Country Manager,,
Male,No,28.0,AUB,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,An Ad on Social Media,Eurisko Mobility,DevOps,,
Male,No,42.0,IUL,CCE,Engineering,Lebanon,Lebanese,Employed,IUL,Graduated,Word of Mouth,Monty Mobile,Data Director,,
Female,No,40.0,NDU,CCE,Engineering,Qatar,Lebanese,Employed,NDU,Graduated,AUB Website,Microsoft,Customer Success Manager,,
Male,Yes,32.0,LU,Architecture,Engineering,UAE,Lebanese,Employed,LU,Graduated,AUB Website,Obermeyer Middle East,Senior Architect,,
Male,No,31.0,LIU,Mechanical Engineering,Engineering,Lebanon,Palestinian,Employed,LIU,Inactive,Facebook,Doctors without borders,Flying Health information systems officer,,
Male,No,27.0,Sagesse,Law,Arts & Others,Lebanon,Lebanese,Employed,Sagesse,Dropped,Instagram,Kamal Abou Zahr Law Firm,Junior Lawyer,,
Female,No,40.0,AUB,Masters of Public Health,Health,Lebanon,Lebanese,Employed,AUB,Dropped,An ad on social media,American University of Beirut,Principal Clinical Applications Analyst,,
Female,No,33.0,LIU,Medical Sciences,Health,Lebanon,Lebanese,Employed,LIU,Graduated,An Ad on Social Media,Let's Graduate Scientific Academy,CEO and Founder,,
Male,Yes,36.0,NDU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Inactive,AUB Website,IMPEX,Assistant Service Manager,,
Male,No,24.0,AUB,Chemistry,Sciences,Lebanon,Lebanese,Unemployed,AUB,Dropped,AUB Website,,,,
Female,No,41.0,LAU,Graphic Design,Arts & Others,Lebanon,Lebanese,Unemployed,LAU,Graduated,Word of Mouth,,,,
Female,No,47.0,Unknown,Environmental Engineering,Engineering,Egypt,Egyptian,Unemployed,Unknown,Dropped,Google,,,,
Male,No,29.0,Unknown,Marketing,Business,UAE,Lebanese,Employed,Unknown,Inactive,Word of Mouth,OMD (Optimum Media Direction),Senior Performance Executive,,
Female,Yes,27.0,LU,Physics,Sciences,UAE,Lebanese,Employed,LU,Graduated,AUB Website,Emirates Airlines,Flight Attendant,,
Male,No,39.0,CU,Medicine,Health,Saudi Arabia,Egyptian,Employed,Unknown,Active,Facebook,"Ministry of health, KSA",Project manager,,
Male,Yes,39.0,USJ,Social Sciences,Sciences,Lebanon,Lebanese,Unemployed,USJ,Dropped,AUB Website,,,,
Male,Yes,27.0,Unknown,Electrical  & Computer Engineering,Engineering,UAE,Lebanese,Employed,Unknown,Inactive,AUB Website,Clemenceau Medical Center,Billing Officer,,
Male,No,30.0,Unknown,Business Administration,Business,UAE,French,Unemployed,Unknown,Graduated,Word of Mouth,,,,
Male,Yes,53.0,AUB,Engineering Technologies,Engineering,UAE,Lebanese,Employed,AUB,Graduated,Email from AUB,ETTS,CEO,,
Female,No,27.0,AUB,Engineering Management,Engineering,Lebanon,Lebanese,Employed,AUB,Dropped,An ad on Google search,Leading Modern Company for Logistics Services,Senior Operations Analyst,,
Male,No,33.0,NDU,Finance,Business,Lebanon,Lebanese,Employed,NDU,Dropped,Facebook,Blom bank,Internal financial reporting analyst,,
Female,No,26.0,USJ,Dentistry- Speciality,Health,Lebanon,Lebanese,Employed,USJ,Dropped,Instagram,Self-employed at Tohme Clinic,Prosthodontist,,
Female,No,30.0,Unknown,Business Administration,Business,UAE,American,Unemployed,Unknown,Dropped,Word of Mouth,,,,
Female,No,33.0,AUB,Business Management,Business,Qatar,Lebanese,Employed,AUB,Dropped,Instagram,Elan Decaux,Sales executive,,
Male,No,24.0,NDU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Unemployed,NDU,Graduated,AUB Website,,,,
Male,Yes,38.0,LU,Pharmacy,Health,Lebanon,Lebanese,Employed,LU,Graduated,Instagram,Internnational Medical Corps,"MHPSS, Senior Pharmacist",,
Male,Yes,25.0,Balamand,Engineering Technologies,Engineering,Lebanon,Lebanese,Unemployed,Balamand,Dropped,Instagram,,,,
Male,No,31.0,Unknown,Chemical Engineering,Engineering,Netherlands,Lebanese,Unemployed,Unknown,Inactive,An ad on Google search,,,,
Male,Yes,38.0,Sagesse,Marketing,Business,Lebanon,Lebanese,Unemployed,Sagesse,Graduated,An ad on social media,,,,
Male,No,23.0,Balamand,Mechanical Engineering,Engineering,Oman,Lebanese,Employed,Balamand,Graduated,Word of Mouth,Bashaer Gulf Duqm (BGD),Site Engineer,,
Female,No,41.0,LAU,Hospitality and Tourism Management,Arts & Others,Lebanon,Lebanese,Employed,LAU,Graduated,Word of Mouth,Self Employed,Freelancer,,
Female,Yes,45.0,AUB,Public Administration,Business,Lebanon,Lebanese,Employed,AUB,Graduated,An ad on social media,Safrat Travel,General Manager,,
Male,No,35.0,AUB,Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Graduated,An ad on Google search,Cedars Brokers & Consultants,Director,,
Female,Yes,27.0,Unknown,Medical Genetics and Genomics,Health,United Kingdom,Lebanese,Employed,Unknown,Dropped,Word of Mouth,Lonza,Senior Scientist,,
Female,Yes,25.0,AUB,Medicine,Health,Lebanon,Lebanese,Unemployed,AUB,Dropped,AUB Website,,,,
Male,Yes,29.0,LU,Electronics,Engineering,Lebanon,Lebanese,Employed,LU,Dropped,Facebook,Khater Engineering & Trading (Siemens Official Solution Partner),"BMS, Automation & Control Engineer",,
Male,Yes,26.0,AUB,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,AJB Hightech Ltd.,Control & Automation Engineer,,
Female,No,31.0,CU,Communication,Engineering,Jordan,Egyptian,Employed,Unknown,Graduated,Facebook,ARIJ,Co-coach,,
Female,No,34.0,AUB,Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Graduated,Instagram,Rassem trading Company,Manager,,
Female,Yes,36.0,Unknown,Agricultural and Extension education,Engineering,Lebanon,Lebanese,Employed,Unknown,Graduated,Facebook,UNHCR,Associate Monitoring and Evaluation Officer,,
Female,Yes,36.0,LIU,Nutrition and Dietetics,Health,Lebanon,Lebanese,Employed,LIU,Graduated,Word of Mouth,Vie Saine,Senior Dietitian and Life Coach,,
Female,No,30.0,USJ,Economics,Business,Lebanon,Lebanese,Employed,USJ,Dropped,Instagram,CMA CGM,Studies & Marketing Manager,,
Male,No,28.0,AUB,Civil Engineering,Engineering,UAE,Lebanese,Employed,AUB,Active,LinkedIn,Smart Education,Head of Robotics & ICT Department,,
Male,Yes,27.0,Unknown,Civil Engineering,Engineering,Kuwait,Lebanese,Employed,Unknown,Graduated,Google search,Riham General Trading and Contracting Co.,Procurement and estimation engineer,,
Female,Yes,25.0,LU,Mathematics,Sciences,Lebanon,Lebanese,Employed,LU,Dropped,Sponsor Ad,Abdulhamid Haidar,Math Content Specialist,,
Female,No,26.0,AUB,Psychology,Arts & Others,UAE,American,Unemployed,AUB,Graduated,Email from AUB,,,,
Male,Yes,23.0,BAU,Physics,Sciences,Lebanon,Lebanese,Unemployed,BAU,Graduated,LinkedIn,,,,
Male,No,23.0,AUB,Chemistry,Sciences,Lebanon,Lebanese,Unemployed,AUB,Dropped,Email from AUB,,,,
Female,Yes,23.0,LU,Mathematics,Sciences,Lebanon,Lebanese,Unemployed,LU,Graduated,Instagram,,,,
Female,Yes,26.0,LAU,Information Technology Management,CS/IT/MIS,Lebanon,Lebanese,Employed,LAU,Graduated,AUB Website,ITICO Pharma,IT Manager,,
Female,Yes,28.0,Unknown,Data Analytics and Program Evaluation,CS/IT/MIS,Lebanon,Lebanese,Employed,Unknown,Graduated,AUB Website,AUB,Data Engineering,,
Male,Yes,42.0,AUST,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUST,Graduated,An ad on Google search,DataFlow,Senior Front End Developer,,
Female,No,44.0,BAU,Computer Science,CS/IT/MIS,UAE,Palestinian,Employed,BAU,Dropped,Instagram,International Community School,IT Specialist,,
Male,Yes,40.0,LU,Management Information System,CS/IT/MIS,UAE,Lebanese,Employed,LU,Dropped,AUB Website,Al Zahrawi Medical Supplies LLC,Procurement & Logistics Manager,,
Male,Yes,50.0,LU,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,LU,Graduated,AUB Website,IDS-Fintech,Senior Team Leader,,
Female,Yes,27.0,NDU,Math & Statistics,Sciences,Lebanon,Lebanese,Employed,NDU,Dropped,Facebook,SABIS,Teacher,,
Male,No,23.0,Unknown,Computer Engineering and Technology,Engineering,Lebanon,Lebanese,Unemployed,Unknown,Graduated,Word of Mouth,,,,
Female,No,21.0,Unknown,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,Unknown,Graduated,AUB Website,,,,
Male,Yes,24.0,Balamand,Mechatronics Engineering,Engineering,Lebanon,Syrian,Employed,Balamand,Graduated,Instagram,Norna AI,Data Analyst,,
Female,Yes,33.0,AUB,Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,Facebook,AUB,Part Time Lecturer,,
Female,No,34.0,AUB,Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,Instagram,Laceco,Executive Management,,
Male,Yes,31.0,Unknown,Mathematics,Sciences,Lebanon,Lebanese,Employed,Unknown,Graduated,Instagram,American University of Middle East,Instructor,,
Male,Yes,22.0,LIU,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,LIU,Dropped,Word of Mouth,Y76,Software Engineer,,
Male,No,42.0,NDU,Business Computer,Business,Lebanon,Lebanese,Employed,NDU,Graduated,Word of Mouth,Indafo Offshore,Project Manager,,
Male,No,44.0,LU,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Dropped,AUB Website,PowerMe,CTO,,
Female,Yes,23.0,LU,Math & Statistics,Sciences,Lebanon,Lebanese,Unemployed,LU,Graduated,Facebook,,,,
Male,No,29.0,AUB,Mathematics,Sciences,Lebanon,Lebanese,Employed,AUB,Graduated,Facebook,Publicis Groupe,Senior Executive,,
Female,No,29.0,AUB,Electrical & Computer Engineering,Engineering,Kuwait,Lebanese,Employed,AUB,Graduated,Instagram,Dar Al Shifa Hopsital,Senior IT Application Analyst,,
Female,No,32.0,Unknown,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,Unknown,Graduated,Instagram,Smart College,Software Developer,,
Female,No,25.0,NDU,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Graduated,Instagram,APGAR Group,Technical Data Engineer,,
Female,No,34.0,Unknown,NanoEngineering,Engineering,Lebanon,Lebanese,Unemployed,Unknown,Graduated,AUB Website,,,,
Male,No,45.0,AUB,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,AUB,"Director of Digital Initiatives and Scholarship, University Libraries",,
Female,No,35.0,LU,Medicine,Health,Cote D'Ivoire,Lebanese,Employed,LU,Dropped,AUB Website,Luxury Clinic,Endodontist,,
Female,No,34.0,Unknown,Educational technology,Arts & Others,UAE,Jordanian,Employed,Unknown,Inactive,Instagram,Ajyal School,Educational specialist,,
Female,Yes,49.0,AUB,Educational administration and policy writing,Arts & Others,Qatar,Lebanese,Employed,AUB,Dropped,LinkedIn,Qatar Foundation,Principal,,
Female,No,26.0,USEK,Biology,Sciences,Lebanon,Lebanese,Employed,USEK,Graduated,Instagram,Dictalive,Medical Assitant,,
Female,No,21.0,AUB,Business Administration,Business,Qatar,Lebanese,Unemployed,AUB,Graduated,Instagram,,,,
Male,No,24.0,Balamand,Biology,Sciences,Lebanon,Lebanese,Unemployed,Balamand,Dropped,Instagram,,,,
Male,Yes,26.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,American University of Beirut,Research Associate,,
Female,Yes,25.0,AUB,Chemistry,Sciences,Saudi Arabia,Lebanese,Employed,AUB,Graduated,Facebook,International School in Riyadh Ksa,Science Teacher,,
Male,No,52.0,AUB,Health Professions and Related Programs,Health,Lebanon,Lebanese,Employed,AUB,Inactive,AUB Website,AUBMC,Assistant Professor in Clinical Radiation Oncology,,
Male,No,26.0,NDU,Nursing,Health,Lebanon,Lebanese,Employed,NDU,Graduated,AUB Website,Saint George hospital medical center,RN,,
Male,Yes,29.0,AUB,Biology,Sciences,Lebanon,Lebanese,Employed,AUB,Graduated,Instagram,Oxfam,Policy Lead,,
Female,Yes,26.0,Unknown,Health Professions and Related Programs,Health,UAE,Palestinian,Employed,Unknown,Graduated,AUB Website,CCAD,Research Scholar,,
Male,Yes,25.0,AUB,Business Management,Business,UAE,Lebanese,Employed,AUB,Inactive,AUB Website,Archirodon,Project Engineering,,
Female,No,24.0,Unknown,Business Administration,Business,Lebanon,American,Unemployed,Unknown,Inactive,AUB Website,,,,
Male,No,32.0,LAU,Interior Design,Arts & Others,Lebanon,Lebanese,Employed,LAU,Dropped,Instagram,Yuwalem,Designer,,
Female,Yes,22.0,Unknown,Economics,Business,Lebanon,Lebanese,Employed,Unknown,Active,Instagram,United Petroleum Company Sal,Junior accountant,,
Female,Yes,45.0,AUB,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,AUBMC,Executive Officer,,
Male,Yes,21.0,LAU,Information Technology and Operations Management,CS/IT/MIS,Lebanon,Palestinian,Unemployed,LAU,Graduated,Instagram,,,,
Female,Yes,22.0,AUB,Biology,Sciences,Lebanon,Syrian,Unemployed,AUB,Active,Instagram,,,,
Female,Yes,23.0,AUST,Medical Laboratory Sciences,Health,Lebanon,Lebanese,Employed,AUST,Graduated,Instagram,CMA CGM Beirut Terminal,Administration,,
Female,Yes,25.0,AUB,Business Administration,Business,Belgium,Lebanese,Employed,AUB,Graduated,Email from AUB,Freedom Diamonds,Account Manager,,
Male,Yes,37.0,LU,Political Studies,Arts & Others,Lebanon,Lebanese,Employed,LU,Graduated,Word of Mouth,Médecins Sans Frontières (MSF)/ Doctors Without Borders,"Projects, Outreach & Campaigns Manager",,
Male,No,24.0,LAU,Economics,Business,Lebanon,Lebanese,Unemployed,LAU,Graduated,Instagram,,,,
Female,No,37.0,LAU,Business Administration,Business,Lebanon,Lebanese,Employed,LAU,Graduated,Facebook,BBAC,Head of Sanctions & Combating corruption and bribery,,
Male,No,23.0,Unknown,Business Administration,Business,Lebanon,Lebanese,Unemployed,Unknown,Dropped,Word of Mouth,,,,
Female,No,25.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Active,Word of Mouth,Ana Aqra Association,"Monitoring, Evaluation, Research, and Learning Assistant",,
Female,No,21.0,AUB,Elementary Education,Arts & Others,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,LAU,Administrative Assistant,,
Female,Yes,34.0,LAU,Business Management,Business,Lebanon,Lebanese,Employed,LAU,Graduated,Instagram,Inspire,Business Analyst,,
Female,No,31.0,Unknown,Medicine,Health,Palestine,Palestinian,Unemployed,Unknown,Graduated,AUB Website,,,,
Male,No,24.0,AUB,Graphic Design,Arts & Others,Lebanon,Lebanese,Employed,AUB,Dropped,LinkedIn,Specialized Arab Care Hospital,Cheif Resident - Operational Manager,,
Female,No,23.0,AUB,Chemical Engineering,Engineering,Cote D'Ivoire,Lebanese,Unemployed,AUB,Graduated,AUB Website,,,,
Male,Yes,38.0,AUB,Computer Science,CS/IT/MIS,Saudi Arabia,Lebanese,Employed,AUB,Graduated,Word of Mouth,Netvariant,Co-Founder and COO,,
Male,Yes,25.0,USEK,Medicine,Health,Lebanon,Lebanese,Unemployed,USEK,Dropped,Sponsor Ad,,,,
Male,No,37.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,NEWTEK SOLUTIONS,SENIOR BUSINESS ANALYST,,
Female,No,38.0,AUB,Public Health,Health,Lebanon,Lebanese,Unemployed,AUB,Graduated,LinkedIn,,,,
Female,Yes,40.0,LU,Business Administration,Business,Lebanon,Lebanese,Employed,LU,Graduated,Facebook,Public Sector- Council of Development and Reconstruction,Financial Expert,,
Male,No,44.0,LU,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,LU,Graduated,Email from AUB,Ericsson,Senior Solution Architect,,
Female,No,41.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,AUBMC,Senior registered nurse,,
Male,No,38.0,Empire State College,Business Administration,Business,Lebanon,Lebanese,Employed,Unknown,Graduated,Sponsor Ad,Proximie,Cloud Engineer,,
Female,Yes,24.0,AUB,Mathematics,Sciences,UAE,Lebanese,Employed,AUB,Graduated,Google Search,,Teacher,,
Female,Yes,55.0,AUB,Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,Bank Audi,Head of business commercial south area,,
Male,No,31.0,LIU,Management Information Systems,CS/IT/MIS,Lebanon,Lebanese,Employed,LIU,Inactive,AUB Website,Al Mayadeen TV,IT Network and systems administrator,,
Male,Yes,24.0,LIU,Business Administration,Business,Lebanon,Lebanese,Employed,LIU,Active,Instagram,Herbmed,Data entry and stock monitoring,,
Male,Yes,23.0,RHU,Engineering Technologies and Engineering-Related Fields,Engineering,Lebanon,Lebanese,Unemployed,RHU,Graduated,Sponsor Ad,,,,
Male,No,25.0,BAU,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,BAU,Graduated,An Ad on Google Search,CME,Digital Content,,
Female,No,31.0,NDU,Business Administration,Business,Lebanon,Lebanese,Employed,NDU,Dropped,Facebook,The Nawaya Network,Country Manager / Business Development Manager,,
Male,Yes,38.0,LU,Business Administration,Business,Lebanon,Lebanese,Employed,LU,Graduated,Facebook,Azentio SoftwareLebanon sal,Finance Manager,,
Male,Yes,31.0,LU,Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Graduated,AUB Website,Baytek offshore,senior Business Consultant,,
Male,No,24.0,Antonine University,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Active,Word of Mouth,Hussein Dhayne,Electrical engineer,,
Male,No,49.0,AUB,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,BMB SAL,Software developer,,
Female,No,35.0,AUB,Electrical & Computer Engineering,Engineering,Kuwait,Lebanese,Employed,AUB,Graduated,AUB Website,American College of Middle East,Computer engineering instructor,,
Female,No,24.0,LU,Mathematics,Sciences,Lebanon,Lebanese,Employed,LU,Graduated,AUB Website,Evengelical school of Rabieh,teacher,,
Male,No,26.0,LAU,Computer Science,CS/IT/MIS,Netherlands,Lebanese,Employed,LAU,Active,Word of Mouth,SkillLab,Product Manager,,
Male,Yes,40.0,AUL,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUL,Graduated,An Ad on Youtube,BI Solutions House,Founder,,
Female,No,25.0,AUB,Math & Statistics,Sciences,Lebanon,Lebanese,Employed,AUB,Graduated,Instagram,Daraj Media,Data Analyst,,
Male,No,23.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,AUB,Graduated,AUB Website,,,,
Female,Yes,36.0,LIU,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,LIU,Active,Word of Mouth,EDM,Full Stack PHP Developer,,
Female,No,21.0,LIU,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Unemployed,LIU,Graduated,AUB Website,,,,
Male,Yes,22.0,RHU,Mechatornics Engineering,Engineering,Lebanon,Palestinian,Unemployed,RHU,Graduated,Instagram,,,,
