Gender,First Generation,Age,University,Major,Major Grouping,COR,Nationality,Employment,Uni Grouping,Final Status,How did you hear about this program?,Name of Company,Job Title (if applicable),Motivation,Motivation Additional Info
Male,Yes,44.0,AUB,Computer Science,CS/IT/MIS,Qatar,Lebanese,Employed,AUB,Dropped,AUB Website,Fadaat Media,Sap project manager,,
Male,Yes,40.0,Antonine University,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Inactive,AUB Website,A.N.Boukather,Head of Development,,
Female,Yes,30.0,AUB,Biomedical Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,American University of Beirut (AUB),Research Assistant,,
Male,No,55.0,LU,Electrical & Computer Engineering,Engineering,Saudi Arabia,Lebanese,Employed,LU,Graduated,Facebook,Norconsult Telematics,GM Advisor,,
Male,No,,,,Business,Lebanon,Lebanese,Employed,Unknown,Active,Provost Initiative,AUB,Assistant Professor,,
Male,No,41.0,Purdue University,"Systems, Measurement, and Control",Engineering,Lebanon,Lebanese,Employed,Unknown,Active,Provost Initiative,AUB,Associate Professor,,
Male,Yes,47.0,LU,Education,Arts & Others,Lebanon,Lebanese,Employed,LU,Dropped,Provost Initiative,AUB,Associate Professor,,
Male,No,,,,Health,Lebanon,Lebanese,Employed,Unknown,Inactive,Provost Initiative,AUB,Associate Professor,,
Female,Yes,50.0,USJ,MD,Health,Lebanon,Lebanese,Employed,USJ,Graduated,Provost Initiative,AUB,Full Professor,,
Male,No,,,,Engineering,Lebanon,American,Employed,Unknown,Dropped,Provost Initiative,AUB,Assistant Professor,,
Male,Yes,48.0,University of Surrey,Statistics,Sciences,Lebanon,Lebanese,Employed,Unknown,Inactive,Provost Initiative,AUB,Full Professor,,
Female,Yes,55.0,AUB,Chemistry,Sciences,Lebanon,Lebanese,Employed,AUB,Graduated,Provost Initiative,AUB,Instructor,,
Female,No,51.0,Université Saint Joseph (USJ),Business Administration,Business,Lebanon,Lebanese,Employed,USJ,Active,AUB Website,Jreissati Enterprises sal / Scentle.com,"Owner, Manager",,
Male,Yes,45.0,Rennes 1 University,Computer Science,CS/IT/MIS,UAE,Lebanese,Employed,Unknown,Active,LinkedIn,Onespan,Senior Regional Sales Manager,,
Female,No,33.0,Lebanese University (LU),Accounting & Auditing,Business,Lebanon,Lebanese,Employed,LU,Active,Word of Mouth,Utrix SAL,Business Excellence Head,,
Male,No,24.0,Lebanese University,Electronics,Sciences,Lebanon,Lebanese,Employed,LU,Dropped,AUB Website,Gargour automotive company,Electrical and electronic technician,,
Female,Yes,26.0,American University of Beirut (AUB),Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Active,LinkedIn,Somfy,Accountant,,
Male,Yes,30.0,Lebanese International University (LIU),Management information system,CS/IT/MIS,Lebanon,Lebanese,Employed,LIU,Active,Facebook,CMA CGM,Senior E-commerce,,
Female,Yes,36.0,Antonine University,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Active,AUB Website,Orient swiss - Zood,Product Manager,,
Male,Yes,33.0,Lebanese International University,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,LIU,Active,LinkedIn,VOX Solutions,Routing & Quality Specialist,,
Male,Yes,27.0,"Arts, Sciences, and Technology University inLebanon",Business Administration,Business,Lebanon,Lebanese,Employed,AUL,Active,AUB Website,SETS SARL,Information Technology Support Specialist,,
Female,Yes,46.0,Lebanese University (LU),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,LU,Dropped,Facebook,Al kafaat technical institute,Head of IT department,,
Male,No,22.0,American University of Beirut (AUB),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Inactive,AUB Website,AUBMC,Application Analyst,,
Male,No,36.0,Antonine University,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Active,Instagram,People365,Software Development Manager,,
Female,No,43.0,Nantes University France,Civil Engineering,Engineering,Lebanon,Lebanese,Employed,Unknown,Graduated,AUB Website,AUB,Professor,,
Female,Yes,41.0,CNAM,Audit,Business,Lebanon,Lebanese,Employed,CNAM,Dropped,Email from AUB,Patchi,Financial Controller,,
Male,Yes,34.0,AUST,Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUST,Active,AUB Website,Meeting Point,IT Administrator,,
Female,Yes,36.0,Lebanese International University (LIU),Biomedical Sciences,Sciences,Qatar,Lebanese,Employed,LIU,Active,An Ad on Google Search,Harvard American School,Scientific Research Coordinator,,
Female,Yes,36.0,Antonine University,Business Administration,Business,Lebanon,Lebanese,Employed,Antonine University,Dropped,Instagram,AUB - Emergency Department,Program Coordinator,,
Female,No,21.0,Notre Dame University (NDU),Physics,Sciences,Lebanon,Lebanese,Employed,NDU,Active,Instagram,"Irfan High School Sawfar, and Ebadieh Official Secondary School",Physics Secondary School Teacher,,
Male,No,21.0,American University of Beirut (AUB),Political Studies,Arts & Others,Lebanon,Lebanese,Unemployed,AUB,Active,AUB Website,,,,
Male,No,52.0,American University of Science and Technology (AUST),Business Administration,Business,Lebanon,Lebanese,Employed,AUST,Active,Facebook,Ogero Telecom,Dada Analyst and System Administrator,,
Female,No,26.0,Beirut Arab University (BAU),Architecture and Related Services,Engineering,Lebanon,Lebanese,Employed,BAU,Active,AUB Website,P & P,Consultant,,
Male,Yes,24.0,CNAM,Electrical and Computing Engineering,Engineering,Lebanon,Lebanese,Employed,CNAM,Graduated,Instagram,Sakr-Holding,Junior Electrical Engineer,,
Male,No,48.0,Kuwait Maastricht Business School,Strategic Management,Business,Kuwait,Kuwaiti,Employed,Unknown,Active,Instagram,Ahli Bank Of Kuwait,Digital Transformation Executive Manager,,
Male,Yes,37.0,Beirut Arab University (BAU),Computer Science,CS/IT/MIS,Saudi Arabia,Lebanese,Employed,BAU,Active,LinkedIn,Almabani General Contractors,Systems Development Manager,,
Female,No,27.0,Lebanese University (LU),Physics,Sciences,Lebanon,Lebanese,Unemployed,LU,Active,AUB Website,,,,
Male,No,53.0,American University of Beirut (AUB),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Active,Instagram,Cybernas,Chief Technology Officer,,
Female,No,53.0,Université Saint Joseph (USJ),Dentist,Health,Lebanon,Lebanese,Unemployed,USJ,Active,Email from AUB,,,,
Male,Yes,48.0,London Business School,Business Administration,Business,Kuwait,Lebanese,Employed,Unknown,Dropped,Instagram,Sama Educational Company,IT Director,,
Male,Yes,27.0,Notre Dame University (NDU),Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Active,AUB Website,Fox EMS,Senior Business Development,,
Female,Yes,25.0,Phoenicia University,Petroleum Engineering,Engineering,Lebanon,Lebanese,Employed,Unknown,Active,Instagram,iSolutions,GCP Presales Engineer,,
Female,Yes,28.0,CNAM,Computer Science,Engineering,Lebanon,Lebanese,Employed,CNAM,Active,AUB Website,Designer 24,Software engineer,,
Male,No,30.0,Qatar University,Mechanical Engineering,Engineering,Qatar,Lebanese,Employed,Unknown,Active,Instagram,AECOM Middle East,Project Controls Engineer,,
Female,No,24.0,Notre Dame University (NDU),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,NDU,Active,AUB Website,Cloud Ambiance,Technical and Functional Consultant,,
Male,Yes,26.0,Beirut Arab University (BAU),Civil Engineering,Engineering,UAE,Lebanese,Employed,BAU,Active,AUB Website,Arabian construction company,Project control engineer,,
Female,Yes,36.0,American University of Beirut (AUB),Public Health,Health,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,AUB,Senior Research Assistant,,
Male,Yes,36.0,American University of Beirut (AUB),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Inactive,AUB Website,Azadea group,Senior Application Developer,,
Female,Yes,35.0,Lebanese University (LU),Math & Statistics,Sciences,Lebanon,Lebanese,Unemployed,LU,Inactive,LinkedIn,,,,
Male,Yes,26.0,Lebanese University (LU),Civil Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Active,I was searching for a course about data science on google,Walid Daniel,Design Engineer,,
Male,Yes,27.0,Beirut Arab University (BAU),Medicine,Health,Lebanon,Lebanese,Employed,BAU,Active,Instagram,StabilityAI,AI Model Fine-tuner,,
Female,Yes,35.0,Lebanese University (LU),Math & Statistics,Sciences,Lebanon,Lebanese,Employed,LU,Dropped,AUB Website,SNC School,Math Teacher,,
Female,No,24.0,Lebanese International University (LIU),Mathematics,Sciences,Saudi Arabia,Lebanese,Employed,LIU,Active,Instagram,Tarbiyah Namouthajiya International School,Teacher,,
Male,No,44.0,Universite Claude Bernard Lyon 1,Physics,Sciences,Lebanon,Lebanese,Employed,Unknown,Graduated,Instagram,Rafik Hariri University,Acting Dean of the College of Arts and Sciences - Associate Professor,,
Female,No,22.0,American University of Beirut (AUB),Chemistry,Sciences,Lebanon,Lebanese,Unemployed,AUB,Graduated,AUB Website,,,,
Female,Yes,39.0,Lebanese University (LU),Civil Engineering,Engineering,Kuwait,Lebanese,Employed,LU,Active,Instagram,American University of the Middle East (AUM) - Kuwait,Assistant Professor,,
Male,No,44.0,Royal College of Surgeons,Medicine,Health,USA,Lebanese,Employed,Unknown,Active,An Ad on Google Search,Neurocare of the South,Neurologist,,
Male,Yes,29.0,Beirut Arab University (BAU),Petroleum Engineering,Engineering,Saudi Arabia,Lebanese,Employed,BAU,Active,Sponsor Ad,Hatcon Company Limited,Technical Sales Consultant,,"I am having restrictions in the oil industry in the Middle East (due to myLebanese nationality), which is limiting my career growth as well. The program will add great value for me, as I decided to start the journey for a career change, toward data and business analytics."
Female,Yes,29.0,Adeleke University,Biochemistry,Sciences,Lebanon,Nigerian,Employed,Unknown,Active,Instagram,Adventist Learning Center,Teacher,,
Male,Yes,36.0,University of Technology Sydney,Computer & Communications Engineering,Engineering,Qatar,Lebanese,Employed,Unknown,Inactive,AUB Website,Midis Group,Senior Account Manager,,
Male,No,31.0,Arab Academy in Denmark,Business Management,Business,Saudi Arabia,Palestinian,Employed,Unknown,Active,AUB Website,Hay Group,total rewards senior consultant,,
Male,Yes,27.0,Lebanese American University (LAU),Physics,Sciences,Lebanon,Lebanese,Employed,LAU,Active,i was searching for certificates in data science inLebanon,Maison prunelle restaurant,chef de rang,,this program offers me the best way to fill the gap i have to transition to the field of data science .
Male,Yes,28.0,Lebanese University (LU),Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Active,Sponsor Ad,BBAC,MIS Officer,,"I would like to pursue a career more dedicated towards data science, and become more involved in the evolving fields of artificial intelligence."
Female,Yes,35.0,Haigazian University,Mathematics,Sciences,Saudi Arabia,Lebanese,Unemployed,Haigazian,Active,Instagram,,,,Changing my career path.
Male,No,43.0,Notre Dame University (NDU),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Active,AUB Website,International Committee of the Red Cross,ICT Manager,,
Female,Yes,25.0,Lebanese American University (LAU),Marketing,Business,Lebanon,Lebanese,Employed,LAU,Dropped,Sponsor Ad,Dice Marketing & Advertising Agency,Assistant Manager,Enhance Expertise,"I have a huge interest in AI! AI is highly requested in the job workforce, i already use it and its the number one trend right now, so i definitely want to explore this field more and enhance my analytical thinking and AI skills. In parallel with my dream"
Male,Yes,22.0,Islamic University ofLebanon (IUL),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,IUL,Active,my friend,Ahmad Makhzoum,Software Developer,,
Male,Yes,27.0,Lebanese University (LU),Public Law,Arts & Others,Lebanon,Lebanese,Unemployed,LU,Active,AUB Website,,,,I am interested in making a career change from law into data science
Female,Yes,46.0,Université Saint Joseph (USJ),Business Administration,Business,Lebanon,Lebanese,Employed,USJ,Active,Instagram,Ministry of Education,Minister office,,I also have knowledge in coding and some programming languages
Female,No,45.0,Beirut Arab University (BAU),Electrical & Computer Engineering,Engineering,Lebanon,Palestinian,Employed,BAU,Active,Facebook,Beirut Arab University,Assistant professor,,
Female,Yes,52.0,Lebanese University (LU),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,LU,Active,Instagram,,,,
Male,No,22.0,Lebanese American University (LAU),Physics,Sciences,Lebanon,Lebanese,Employed,LAU,Active,Instagram,Englease,English Teacher,,Why are you interested in this program / What is the intended benefit from the program
Male,Yes,23.0,Lebanese American University (LAU),Information Technology Management,CS/IT/MIS,Lebanon,Lebanese,Unemployed,LAU,Inactive,AUB Website,,,Career Change,I have been trying to get into Data Science for a career change. I believe this diploma will grant me the advantage and skills I need to jumpstart my transition.
Male,No,49.0,AUL,Computer and Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUL,Active,Instagram,Solidere,IT manager,,
Female,No,22.0,Lebanese University (LU),Physics,Sciences,Lebanon,Lebanese,Employed,LU,Active,AUB Website,CodeBrave,Coding and Robotics Teacher,,
Female,Yes,23.0,Lebanese University (LU),Mathematics,Sciences,Lebanon,Lebanese,Unemployed,LU,Active,Sponsor Ad,,,Career Advancement,"I am quite interested in this program because I am confident in the resources and guidance it will provide me to help me reach my goals of entering the field of AI and machine learning. During my work at CodeBrave, I taught AI and ML courses using Python,"
Female,Yes,22.0,Arab Open University,Computer Science,CS/IT/MIS,Saudi Arabia,Lebanese,Unemployed,Unknown,Active,Instagram,,,,
Male,No,51.0,Université Saint Joseph (USJ),Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,USJ,Active,LinkedIn,SABIS,Special Assistant • Information & Digital Technologies,,I am interested in this program as it will provide me with the opportunity to improve my knowledge of innovative technologies
Female,No,29.0,American University of Beirut (AUB),Electrical & Computer Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,Dar al Shifa Hospital - Kuwait,Application Analyst (remote),Career Advancement,"I am aiming at enhancing my skills in those domains to open up new opportunities for my career, also to have a disciplined curriculum and a certification from your reputable establishment."
Female,Yes,41.0,American University of Beirut (AUB),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Unemployed,AUB,Active,Instagram,,,,
Male,No,24.0,Haigazian University,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,Haigazian,Dropped,AUB Website,Aspire Software,Implementation Specialist,Lifelong Learner,"AI industry is a growing and promising industry that will have impact on different fields. AI is completely changing the face of technolgy, thus I think it is exciting to be part of this revolutionary transition."
Female,No,22.0,American University of Beirut (AUB),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,AUB,Inactive,Instagram,,,,
Female,No,41.0,American University of Science and Technology (AUST),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,AUST,Active,Email from AUB,AUB,Instructor at ECE Labs,,I am interested in Artificial Intelligenc
Female,No,29.0,Lebanese University (LU),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Unemployed,LU,Active,AUB Website,,,,
Male,Yes,30.0,Beirut Arab University (BAU),Civil Engineering,Engineering,Lebanon,Lebanese,Employed,BAU,Active,Facebook,Bees Lighting,E-commerce Specialist,Career Advancement,
Male,No,42.0,Notre Dame University (NDU),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Active,Facebook,Sabis Educational Services,Solutions Architect,Career Advancement,"AI is the future of technology and communication, as an Instructor at AUB I would like to be up to date in information and technology in order to be on a high level and help my students when they need me in their projects. In addition to increase my perso"
Male,No,37.0,Hult International Business School,Business Administration,Business,Lebanon,Lebanese,Employed,Unknown,Active,Email from AUB,Beytek SAL Offshore,Technical Director,Lifelong Learner,AI & Data Science are very important fields nowadays and are applicable for various fields. As an engineer our fields are widely affected by Al and machine learning hence my interested for getting a degree in it.
Female,No,37.0,University of Jordan,Business Administration,Business,Lebanon,Lebanese,Employed,Unknown,Active,AUB Website,Beytek SAL Offshore,Technical Director,Career Advancement,"I am very interested in this program to develop my skills, particularly in E-commerce. I have already started learning data science on my own, and I want to advance to a professional level through this program."
Male,No,36.0,Universite de Nice Sophia Antipolis,Biomedical Engineering,Engineering,Saudi Arabia,Lebanese,Employed,Unknown,Active,LinkedIn,Dr. Sulaiman Al Habib Medical Group (FLOW Medical Solutions),Business Process Management Leader,Enhance Expertise,AI is very important in today's world and it is still the beginning. This is very important for me to get to know more about it to improve my technical profile.
Female,No,53.0,American University of Beirut (AUB),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Active,AUB Website,American University of Beirut,"Team Lead, Business Intelligence and Analytics",,
Female,No,22.0,Holy Spirit University of Kaslik (USEK),Computer Science,CS/IT/MIS,Qatar,Lebanese,Employed,USEK,Active,AUB Website,Maalomatia,Functional consultant,Career Advancement,"I have years of experience in data analysis, and I am very interested in AI, I believe after this course I will have great knowledge to advance in this field"
Male,No,22.0,Lebanese American University (LAU),Physics,Sciences,Lebanon,Lebanese,Unemployed,LAU,Graduated,Instagram,,,Career Advancement,"I am interested in this program because, professionally, it aligns with my current role in performance excellence and business process management within one of the largest healthcare groups in the region. The program will equip me with advanced skills to"
Female,No,21.0,American University of Beirut (AUB),Economics,Business,Lebanon,Lebanese,Unemployed,AUB,Dropped,AUB Website,,,,Implement and develop an AI and DS area as part of the IT services offering.
Male,No,27.0,Lebanese International University (LIU),Computer & Communications Engineering,Engineering,Saudi Arabia,Lebanese,Employed,LIU,Active,Instagram,Data Consult,Senior Software Engineer and Integration Analyst,Career Advancement,"My interest in pursuing this AI diploma stems from a deep fascination with the transformative potential of artificial intelligence. OpenAI's groundbreaking work has been a major inspiration, fueling my desire to deepen my knowledge and contribute to the f"
Male,No,22.0,American University of Beirut (AUB),Mechanical Engineering,Engineering,Lebanon,Lebanese,Unemployed,AUB,Active,Word of Mouth,,,Career Advancement,"I am looking forward to pursue a career in data science, and believe that this diploma opens doors in that field."
Male,No,38.0,Lebanese University (LU),Business Computing ( Management Information Systems),CS/IT/MIS,UAE,Lebanese,Employed,LU,Active,AUB Website,Crowd One Network Services,Head of Business Intelligence,Enhance Expertise,"During my undergraduate degree, I minored in Data Science and really liked it. So I would like to expand my knowledge in the field."
Male,No,48.0,Lebanese American University (LAU),Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,LAU,Inactive,Facebook,Bano Trading SAL,Regional IT Manager,Career Advancement,"I am interested in joining the professional diploma in Artificial Intelligence to deepen my expertise in machine learning and AI engineering and stay at the forefront of this rapidly evolving field. With my experience in LLM fine-tuning, chatbots with adv"
Male,No,37.0,Lebanese University (LU),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Inactive,Facebook,Bano Puratos,Regional IT Supervisor,Lifelong Learner,I intrested control process courses which include AI.
Male,No,22.0,Haigazian University,Computational science,CS/IT/MIS,Lebanon,Lebanese,Employed,Haigazian,Dropped,Word of Mouth,Exclusive Management,Telesales Consultant,,
Female,No,43.0,Lebanese University (LU),Math and Statistics,Sciences,Lebanon,Lebanese,Employed,LU,Graduated,Email from AUB,AUB,Associate Professor,,"So, I need to have more knowledge and enhance my skills"
Male,Yes,52.0,Lebanese University (LU),Biology,Sciences,Lebanon,Lebanese,Employed,LU,Active,Email from AUB,AUB,Clinical Assistant professor,Career Advancement,ChatGPT
Male,Yes,44.0,Paris-Sud Orsay,Genetics,Health,Lebanon,Lebanese,Employed,Unknown,Active,LinkedIn,AUB,Associate Professor,,
Male,Yes,35.0,University of Franche Comte,PhD in engineering sciences and microsystems,Engineering,Lebanon,Lebanese,Employed,Unknown,Active,Email from AUB,AUB,Assistant Professor,,"I’m interested in this program because AI is quickly changing the world, and it’s important to understand how it can be used in analytics and data science. This is the right time to harness the power of AI and be among the early adopters leadin"
Female,Yes,32.0,American University of Beirut (AUB),Physics,Sciences,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,AUB,Lecturer,Career Advancement,I would like to enhance my skills and enter to the AI field
Female,Yes,60.0,American University of Beirut (AUB),Health Professions and Related Programs,Health,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,AUBMC,Assistant Professor,,"With the rise of AI, and being a software developers it's crucial to continuously improve our technical knowledge."
Male,Yes,42.0,Notre Dame University (NDU),Computer & Communications Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Inactive,Email from AUB,AUB,Associate Professor and program coordinator,Career Advancement,A program like this would be a big step forward towards my goals and would teach me a lot of new things that would be useful throughout my career.
Male,No,31.0,Lebanese American University (LAU),Biology,Sciences,Lebanon,Lebanese,Employed,LAU,Dropped,Email from AUB,AUB,Assistant Professor,,
Female,No,47.0,American University of Beirut (AUB),Medicine,Health,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,AUB,Professor of Family medicine,,
Male,Yes,61.0,Universita degli Studi di Parma,Geology,Sciences,Lebanon,Lebanese,Employed,Unknown,Active,Email from AUB,AUB,Assistant Professor,,
Male,No,30.0,Lebanese University (LU),International Economics,Business,Lebanon,Lebanese,Employed,LU,Active,Email from AUB,AUB,Project Manager,,
Female,Yes,44.0,American University of Beirut (AUB),Biology,Health,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,AUB,Associate Professor,,
Female,No,,American University of Beirut (AUB),Political Studies,Arts & Others,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,AUB,Associate Professor,,
Female,No,57.0,American University of Beirut (AUB),Public Health,Health,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,AUB,Assistant Professor of Family Medicine,,
Male,No,61.0,American University of Beirut (AUB),Civil Engineering,Engineering,Lebanon/Cyprus,Lebanese,Employed,AUB,Active,Email from the Provost's Office about the opportunity for AUB faculty members to take the courses,AUB,Professor,,
Female,No,33.0,American University of Beirut (AUB),Petroleum Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,Email from AUB,AUB,Assistant Professor,,
Female,No,66.0,American University of Beirut (AUB),Medicine,Health,Lebanon,Lebanese,Employed,AUB,Active,Email from AUB,AUB,Professor of Medicine,,
Male,Yes,56.0,American University of Beirut (AUB),Political Studies,Arts & Others,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,AUB,Professor and university Librarian,,
Female,Yes,43.0,American University of Beirut (AUB),Medicine,Health,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,AUBMC,Assistant Professor of Clinical Medicine,,
